Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PACE/40,PIE,Season Type,Season
ATLANTA DREAM,40,19,21,1610.0,99.7,101.5,-1.8,63.2,1.28,16.5,28.3,72.6,50.4,17.6,47.5,52.7,98.7,82.25,48.8,Regular,2023
LAS VEGAS ACES,40,34,6,1600.0,113.0,97.7,15.3,64.6,1.85,19.3,23.7,73.3,50.2,14.3,55.3,59.7,98.58,82.15,59.2,Regular,2023
DALLAS WINGS,40,22,18,1605.0,106.9,103.5,3.5,62.8,1.48,17.2,36.9,72.7,54.2,16.7,48.9,53.5,98.21,81.84,52.5,Regular,2023
SEATTLE STORM,40,11,29,1605.0,96.9,104.0,-7.1,63.4,1.15,15.9,28.4,71.6,49.4,18.9,47.2,51.8,97.23,81.02,44.0,Regular,2023
NEW YORK LIBERTY,40,32,8,1615.0,109.6,99.4,10.3,75.0,1.7,20.5,30.8,73.3,52.9,17.5,53.9,57.7,96.56,80.47,57.7,Regular,2023
WASHINGTON MYSTICS,40,19,21,1605.0,99.9,100.3,-0.4,66.4,1.45,17.6,24.0,71.4,47.3,16.4,48.6,53.3,96.4,80.34,49.3,Regular,2023
LOS ANGELES SPARKS,40,17,23,1605.0,98.0,100.0,-1.9,66.9,1.38,17.4,25.3,72.7,48.3,17.1,47.4,52.5,96.31,80.26,48.0,Regular,2023
CHICAGO SKY,40,18,22,1610.0,101.3,103.4,-2.1,66.6,1.43,18.2,29.2,69.2,48.8,17.8,50.1,53.3,96.18,80.15,47.5,Regular,2023
MINNESOTA LYNX,40,19,21,1610.0,99.8,105.7,-5.9,66.2,1.37,17.6,27.7,70.1,49.0,17.7,48.5,53.0,95.84,79.86,47.2,Regular,2023
CONNECTICUT SUN,40,27,13,1615.0,103.2,98.8,4.4,68.5,1.5,18.4,29.9,71.5,50.5,17.1,49.8,54.0,95.14,79.28,53.1,Regular,2023
INDIANA FEVER,40,13,27,1615.0,101.8,106.3,-4.5,59.7,1.21,16.4,31.4,70.5,50.8,18.7,49.1,53.2,94.83,79.02,46.2,Regular,2023
PHOENIX MERCURY,40,9,31,1605.0,97.6,107.9,-10.3,67.2,1.18,17.8,27.0,67.4,47.9,20.5,49.7,53.9,94.01,78.34,44.3,Regular,2023
UTAH STARZZ,2,0,2,80.0,89.7,112.7,-23.0,55.6,0.83,13.1,29.6,65.8,48.3,20.5,41.8,49.6,86.4,72.0,39.9,Playoffs,2001
SACRAMENTO MONARCHS,5,3,2,200.0,105.3,98.6,6.7,63.2,1.49,15.6,34.8,63.8,48.5,14.9,43.8,50.2,86.28,71.9,48.8,Playoffs,2001
LOS ANGELES SPARKS,7,6,1,280.0,105.1,93.2,11.9,71.8,1.63,19.3,35.4,67.5,52.1,17.4,48.2,52.2,83.83,69.86,62.4,Playoffs,2001
HOUSTON COMETS,2,0,2,80.0,85.4,96.4,-11.0,51.1,0.88,12.6,28.4,71.8,49.7,19.0,41.3,44.5,82.8,69.0,36.7,Playoffs,2001
MIAMI SOL,3,1,2,120.0,87.0,98.9,-12.0,61.4,0.92,13.7,34.3,60.0,46.9,20.7,40.6,44.7,74.0,61.67,37.7,Playoffs,2001
CHARLOTTE STING,8,4,4,320.0,95.1,101.2,-6.2,63.3,1.0,16.1,38.4,61.7,50.2,23.0,45.8,49.4,73.13,60.94,42.6,Playoffs,2001
NEW YORK LIBERTY,6,3,3,240.0,93.7,89.8,3.9,65.7,1.16,16.8,36.8,65.0,50.6,20.8,45.2,48.0,72.9,60.75,55.6,Playoffs,2001
CLEVELAND ROCKERS,3,1,2,120.0,104.1,101.7,2.3,77.9,1.51,19.7,45.5,55.1,50.3,20.3,44.8,49.7,69.0,57.5,54.7,Playoffs,2001
SEATTLE STORM,2,0,2,80.0,81.1,97.4,-16.3,71.8,0.78,14.4,23.7,75.8,47.1,24.3,39.3,46.8,89.7,74.75,32.8,Playoffs,2002
LOS ANGELES SPARKS,6,6,0,240.0,105.2,89.5,15.7,70.0,1.53,18.9,32.1,70.3,51.9,17.6,50.3,54.8,88.1,73.42,65.1,Playoffs,2002
UTAH STARZZ,5,2,3,210.0,96.8,103.7,-6.9,62.4,1.02,15.9,34.6,63.1,50.2,21.7,45.9,50.9,85.94,71.62,46.3,Playoffs,2002
HOUSTON COMETS,3,1,2,130.0,96.8,99.5,-2.7,52.6,1.37,13.2,37.6,64.8,49.4,13.6,40.1,45.3,81.23,67.69,44.5,Playoffs,2002
CHARLOTTE STING,2,0,2,80.0,89.0,101.5,-12.5,57.1,1.04,14.8,32.9,72.1,51.0,19.9,45.1,45.8,81.0,67.5,36.4,Playoffs,2002
INDIANA FEVER,3,1,2,120.0,102.1,108.6,-6.6,61.3,1.0,16.5,39.0,68.5,52.9,23.7,49.7,52.8,78.2,65.17,41.1,Playoffs,2002
NEW YORK LIBERTY,8,4,4,320.0,110.3,106.6,3.8,61.7,1.52,18.0,32.8,63.9,49.1,16.6,53.0,57.0,78.15,65.12,53.8,Playoffs,2002
WASHINGTON MYSTICS,5,3,2,200.0,108.0,108.9,-0.9,70.7,2.0,19.9,31.6,65.8,48.0,14.5,49.7,53.5,78.12,65.1,50.2,Playoffs,2002
CLEVELAND ROCKERS,3,1,2,120.0,91.0,94.6,-3.6,62.7,1.08,14.3,26.8,63.7,46.2,17.5,41.6,49.1,89.4,74.5,47.9,Playoffs,2003
MINNESOTA LYNX,3,1,2,120.0,95.4,102.3,-6.9,76.8,1.13,17.2,33.9,67.7,49.5,21.7,43.4,50.1,87.6,73.0,43.7,Playoffs,2003
DETROIT SHOCK,8,6,2,320.0,99.0,95.8,3.1,68.8,1.28,16.6,37.1,70.9,53.5,18.9,43.1,48.8,86.63,72.19,51.6,Playoffs,2003
LOS ANGELES SPARKS,9,5,4,360.0,102.3,95.9,6.4,72.0,1.53,19.1,34.4,64.9,50.0,18.2,47.2,51.8,84.93,70.78,54.6,Playoffs,2003
HOUSTON COMETS,3,1,2,120.0,96.1,90.1,5.9,54.9,1.15,13.7,34.7,68.5,50.9,16.7,41.3,47.2,81.4,67.83,55.6,Playoffs,2003
SACRAMENTO MONARCHS,6,3,3,240.0,92.9,101.0,-8.1,59.6,1.02,15.0,33.9,64.2,49.3,20.2,43.7,48.4,81.2,67.67,43.2,Playoffs,2003
CONNECTICUT SUN,4,2,2,160.0,104.2,107.7,-3.5,63.1,1.71,18.2,28.3,59.2,45.6,14.6,49.3,54.3,78.15,65.12,53.1,Playoffs,2003
CHARLOTTE STING,2,0,2,80.0,105.8,110.6,-4.8,63.6,1.27,15.8,39.7,66.0,50.8,18.2,45.1,50.4,73.2,61.0,39.2,Playoffs,2003
LOS ANGELES SPARKS,3,1,2,120.0,85.8,96.2,-10.4,68.7,0.88,16.0,28.8,62.8,47.1,24.6,43.2,48.5,84.2,70.17,39.4,Playoffs,2004
SEATTLE STORM,8,6,2,325.0,99.3,89.0,10.3,63.6,1.05,16.3,41.9,67.9,54.8,22.6,46.7,51.1,82.63,68.86,57.2,Playoffs,2004
DETROIT SHOCK,3,1,2,120.0,97.1,101.0,-3.9,63.4,1.1,15.4,38.7,67.9,53.3,19.7,44.0,50.2,82.6,68.83,54.2,Playoffs,2004
SACRAMENTO MONARCHS,6,3,3,245.0,93.3,95.0,-1.7,60.1,1.06,15.2,35.5,65.3,49.4,20.0,43.5,48.0,82.48,68.73,51.4,Playoffs,2004
CONNECTICUT SUN,8,5,3,320.0,97.2,93.2,4.1,59.7,1.09,15.0,34.4,63.5,49.2,19.3,44.6,49.6,81.52,67.94,55.5,Playoffs,2004
WASHINGTON MYSTICS,3,1,2,120.0,95.5,104.9,-9.3,46.3,0.78,11.4,34.8,65.8,50.2,19.8,41.5,48.5,81.4,67.83,42.8,Playoffs,2004
MINNESOTA LYNX,2,0,2,80.0,84.8,99.3,-14.4,64.3,0.68,14.9,33.8,57.3,46.4,30.3,46.5,49.5,80.1,66.75,33.5,Playoffs,2004
NEW YORK LIBERTY,5,2,3,200.0,95.7,97.0,-1.3,61.7,1.1,16.2,30.9,59.5,45.1,20.4,47.8,50.3,79.44,66.2,42.6,Playoffs,2004
SEATTLE STORM,3,1,2,120.0,92.9,99.1,-6.1,57.1,1.0,14.3,28.7,78.0,51.3,18.9,43.1,49.8,84.6,70.5,42.1,Playoffs,2005
LOS ANGELES SPARKS,2,0,2,80.0,96.4,110.6,-14.2,72.9,1.13,18.2,24.3,57.9,39.4,22.1,48.6,52.5,84.3,70.25,35.8,Playoffs,2005
DETROIT SHOCK,2,0,2,80.0,92.8,105.7,-12.9,50.0,0.96,12.0,39.8,70.0,52.8,18.0,37.8,42.8,83.7,69.75,33.1,Playoffs,2005
HOUSTON COMETS,5,2,3,205.0,97.4,97.5,0.0,54.5,0.96,14.5,26.4,67.4,48.1,19.9,47.4,53.8,82.54,68.78,53.1,Playoffs,2005
SACRAMENTO MONARCHS,8,7,1,330.0,101.1,92.6,8.5,61.9,1.29,16.7,35.3,70.2,52.8,18.3,47.9,51.8,82.25,68.55,56.0,Playoffs,2005
CONNECTICUT SUN,8,5,3,330.0,98.6,96.0,2.6,57.8,0.98,14.2,32.7,63.0,49.4,19.6,46.6,52.3,81.09,67.58,57.0,Playoffs,2005
INDIANA FEVER,4,2,2,165.0,102.0,98.0,3.9,55.4,1.28,12.7,40.4,69.2,52.7,14.3,39.6,46.7,73.75,61.45,48.5,Playoffs,2005
NEW YORK LIBERTY,2,0,2,80.0,84.2,101.7,-17.5,54.3,0.76,12.6,21.7,64.4,45.1,20.8,41.0,47.3,71.7,59.75,28.2,Playoffs,2005
WASHINGTON MYSTICS,2,0,2,80.0,81.3,92.9,-11.6,56.3,0.93,12.5,35.6,60.9,47.7,18.7,36.9,39.9,93.0,77.5,33.1,Playoffs,2006
INDIANA FEVER,2,0,2,80.0,90.8,108.5,-17.6,37.7,0.63,9.8,36.8,58.5,47.3,20.9,43.6,46.8,91.8,76.5,29.7,Playoffs,2006
DETROIT SHOCK,10,7,3,400.0,98.4,92.4,6.0,60.0,1.03,15.6,40.2,65.1,53.3,21.4,46.1,50.9,91.32,76.1,57.9,Playoffs,2006
CONNECTICUT SUN,5,3,2,200.0,88.2,90.5,-2.3,59.5,1.0,13.6,35.2,63.6,49.4,18.9,39.4,43.8,91.08,75.9,47.9,Playoffs,2006
SEATTLE STORM,3,1,2,120.0,95.2,96.5,-1.3,70.6,1.37,15.8,25.4,66.2,47.0,15.4,42.8,50.6,90.8,75.67,52.1,Playoffs,2006
SACRAMENTO MONARCHS,9,6,3,360.0,104.0,93.7,10.3,57.8,1.26,15.7,38.6,63.4,50.2,17.7,47.5,51.4,89.07,74.22,55.7,Playoffs,2006
LOS ANGELES SPARKS,5,2,3,200.0,92.3,96.2,-3.9,67.7,1.38,16.4,32.1,65.8,48.5,16.7,42.3,46.6,87.84,73.2,44.9,Playoffs,2006
HOUSTON COMETS,2,0,2,80.0,97.3,127.6,-30.3,52.1,0.81,13.2,30.8,62.7,47.9,21.2,47.2,55.0,87.3,72.75,37.5,Playoffs,2006
PHOENIX MERCURY,9,7,2,360.0,114.0,106.5,7.5,60.5,1.73,16.6,33.6,63.0,48.2,13.5,50.7,56.3,100.4,83.67,54.9,Playoffs,2007
SAN ANTONIO SILVER STARS,5,2,3,200.0,105.0,104.4,0.5,64.9,1.28,17.5,33.8,62.6,47.8,19.4,50.9,54.5,97.2,81.0,48.2,Playoffs,2007
SEATTLE STORM,2,0,2,80.0,107.5,121.0,-13.5,50.8,1.03,14.9,35.7,64.0,50.3,19.9,51.0,54.7,96.9,80.75,40.8,Playoffs,2007
DETROIT SHOCK,11,6,5,445.0,97.7,100.3,-2.6,54.3,1.07,14.4,36.6,69.8,53.5,18.7,45.5,49.1,94.76,78.97,47.5,Playoffs,2007
SACRAMENTO MONARCHS,3,1,2,120.0,95.3,99.1,-3.8,54.3,0.8,13.6,41.5,66.4,53.5,23.3,45.1,50.9,93.8,78.17,49.3,Playoffs,2007
CONNECTICUT SUN,3,1,2,140.0,89.6,97.0,-7.5,61.7,1.16,16.2,27.7,74.1,50.4,18.7,45.0,48.1,91.71,76.43,45.7,Playoffs,2007
INDIANA FEVER,6,3,3,260.0,94.1,94.5,-0.4,58.4,1.21,14.4,27.2,67.8,47.1,15.9,43.3,48.5,90.55,75.46,50.3,Playoffs,2007
NEW YORK LIBERTY,3,1,2,125.0,91.9,84.6,7.3,58.0,1.12,15.2,26.0,67.4,48.1,17.9,46.4,49.8,90.05,75.04,57.9,Playoffs,2007
SACRAMENTO MONARCHS,3,1,2,125.0,99.6,97.5,2.0,56.7,0.92,16.9,30.3,68.6,49.8,24.6,54.5,57.9,93.7,78.08,50.6,Playoffs,2008
INDIANA FEVER,3,1,2,125.0,92.5,101.7,-9.2,63.4,0.88,14.2,30.3,62.9,46.4,21.3,43.0,51.2,91.97,76.64,44.6,Playoffs,2008
SAN ANTONIO SILVER STARS,9,4,5,365.0,93.2,101.2,-8.0,63.6,1.01,15.6,28.4,64.4,46.7,20.5,46.4,52.3,89.95,74.96,45.8,Playoffs,2008
SEATTLE STORM,3,1,2,120.0,88.3,88.8,-0.4,47.8,0.68,11.1,31.6,60.9,46.3,21.1,41.0,48.1,89.2,74.33,50.3,Playoffs,2008
LOS ANGELES SPARKS,6,3,3,240.0,95.5,92.1,3.3,66.3,1.06,16.6,39.7,71.4,54.8,22.7,45.2,49.1,88.6,73.83,51.6,Playoffs,2008
DETROIT SHOCK,9,7,2,365.0,98.2,89.3,8.9,52.6,1.07,14.3,33.9,71.7,53.3,18.2,46.3,51.1,88.37,73.64,57.2,Playoffs,2008
CONNECTICUT SUN,3,1,2,120.0,89.6,94.5,-5.0,56.2,1.08,13.5,36.8,67.0,50.2,17.2,38.9,44.0,88.2,73.5,45.8,Playoffs,2008
NEW YORK LIBERTY,6,3,3,240.0,92.1,90.1,2.0,54.6,0.87,14.4,29.4,66.7,48.6,22.1,47.9,49.8,86.6,72.17,49.2,Playoffs,2008
ATLANTA DREAM,2,0,2,80.0,97.1,108.0,-10.9,56.9,0.79,14.1,34.8,62.7,47.6,24.3,47.4,52.0,104.1,86.75,37.1,Playoffs,2009
DETROIT SHOCK,5,3,2,200.0,99.8,92.8,6.9,55.7,0.87,14.9,39.2,66.7,53.3,23.6,48.6,53.7,96.84,80.7,54.2,Playoffs,2009
PHOENIX MERCURY,11,7,4,445.0,116.2,108.8,7.4,51.6,1.49,15.8,32.3,65.0,49.3,14.4,53.5,58.5,96.32,80.27,52.7,Playoffs,2009
INDIANA FEVER,10,6,4,410.0,102.7,104.0,-1.3,57.5,1.12,15.2,35.2,63.5,49.4,18.5,47.5,53.5,94.83,79.02,52.2,Playoffs,2009
SAN ANTONIO SILVER STARS,3,1,2,120.0,111.0,127.5,-16.5,51.0,1.69,15.4,30.5,60.4,44.3,12.3,52.6,56.3,93.8,78.17,41.9,Playoffs,2009
WASHINGTON MYSTICS,2,0,2,85.0,92.2,102.4,-10.3,47.5,0.72,12.3,39.3,57.0,48.0,23.5,44.1,48.3,93.46,77.88,37.9,Playoffs,2009
LOS ANGELES SPARKS,6,3,3,240.0,101.3,100.0,1.3,59.4,1.11,14.7,40.6,72.0,55.8,18.8,44.9,50.7,93.4,77.83,55.8,Playoffs,2009
SEATTLE STORM,3,1,2,120.0,91.0,97.8,-6.8,58.6,0.85,13.9,31.0,60.0,45.8,21.6,43.7,49.4,89.2,74.33,38.1,Playoffs,2009
WASHINGTON MYSTICS,2,0,2,80.0,97.1,114.0,-16.9,39.6,0.88,9.5,29.6,58.8,42.7,14.0,40.2,48.3,103.2,86.0,33.7,Playoffs,2010
ATLANTA DREAM,7,4,3,280.0,108.3,101.9,6.4,55.9,1.36,15.7,39.7,67.9,53.7,16.2,48.7,53.5,99.09,82.57,56.2,Playoffs,2010
SAN ANTONIO SILVER STARS,2,0,2,80.0,101.2,120.0,-18.8,66.1,1.28,16.7,26.8,67.6,45.3,17.7,48.1,54.0,98.7,82.25,36.8,Playoffs,2010
PHOENIX MERCURY,4,2,2,160.0,111.1,105.6,5.5,68.8,1.83,20.6,30.1,67.5,50.2,16.0,55.0,58.5,96.75,80.62,56.8,Playoffs,2010
SEATTLE STORM,7,7,0,280.0,107.3,98.4,9.0,62.3,1.17,16.9,35.1,67.5,52.2,20.1,52.3,56.6,93.77,78.14,56.6,Playoffs,2010
NEW YORK LIBERTY,5,2,3,200.0,104.7,107.1,-2.3,54.6,1.09,15.5,38.5,62.8,50.5,20.1,49.6,53.3,91.2,76.0,44.5,Playoffs,2010
INDIANA FEVER,3,1,2,120.0,100.9,104.1,-3.2,49.3,0.97,12.8,32.4,57.6,45.6,17.3,45.8,53.0,88.0,73.33,50.9,Playoffs,2010
LOS ANGELES SPARKS,2,0,2,80.0,92.3,111.9,-19.6,47.9,0.85,12.2,29.9,66.7,45.5,18.9,43.9,48.9,85.8,71.5,35.4,Playoffs,2010
CONNECTICUT SUN,2,0,2,80.0,89.7,94.6,-4.9,66.0,1.13,15.8,23.9,61.1,43.2,18.8,43.8,48.6,99.6,83.0,43.8,Playoffs,2011
ATLANTA DREAM,8,4,4,320.0,98.6,98.0,0.6,51.0,1.32,13.7,35.7,66.7,50.4,14.4,43.8,48.0,97.73,81.44,50.5,Playoffs,2011
SEATTLE STORM,3,1,2,120.0,100.0,96.2,3.8,49.4,0.98,12.5,28.8,70.5,49.4,16.8,46.7,52.2,95.4,79.5,50.3,Playoffs,2011
PHOENIX MERCURY,5,2,3,200.0,96.2,109.8,-13.6,50.7,1.12,13.7,30.5,67.7,48.6,16.3,44.3,49.2,95.4,79.5,41.8,Playoffs,2011
MINNESOTA LYNX,8,7,1,320.0,109.2,95.6,13.7,55.1,1.27,15.9,37.4,69.8,54.5,17.5,49.6,54.7,94.58,78.81,58.5,Playoffs,2011
INDIANA FEVER,6,3,3,240.0,95.3,100.6,-5.4,55.6,0.86,13.9,35.6,66.0,50.7,22.3,46.0,50.9,93.5,77.92,44.5,Playoffs,2011
NEW YORK LIBERTY,3,1,2,120.0,96.5,96.0,0.5,56.6,1.0,15.4,29.0,72.0,50.5,20.5,48.9,53.5,91.2,76.0,52.5,Playoffs,2011
SAN ANTONIO SILVER STARS,3,1,2,120.0,95.2,100.9,-5.7,70.5,1.34,18.0,27.4,57.0,42.7,18.1,48.1,52.1,90.2,75.17,50.9,Playoffs,2011
SAN ANTONIO SILVER STARS,2,0,2,80.0,112.5,121.3,-8.8,50.0,1.42,15.1,39.3,62.9,49.3,15.0,50.0,54.4,96.0,80.0,45.3,Playoffs,2012
ATLANTA DREAM,3,1,2,120.0,95.0,103.4,-8.4,49.5,1.07,13.5,38.1,57.3,46.7,17.6,43.0,47.1,95.0,79.17,46.2,Playoffs,2012
LOS ANGELES SPARKS,4,2,2,160.0,112.2,112.7,-0.6,43.2,0.97,13.6,39.3,61.1,51.2,18.9,54.4,58.4,93.9,78.25,49.6,Playoffs,2012
MINNESOTA LYNX,9,5,4,370.0,101.3,101.6,-0.3,52.7,1.12,14.4,37.5,64.3,50.8,17.8,46.4,50.9,88.74,73.95,50.2,Playoffs,2012
INDIANA FEVER,10,7,3,400.0,106.7,100.3,6.4,47.7,0.92,13.3,39.7,58.3,49.4,19.9,49.0,54.1,88.32,73.6,54.4,Playoffs,2012
NEW YORK LIBERTY,2,0,2,80.0,83.0,95.2,-12.2,51.1,1.09,12.1,32.0,65.4,46.9,15.0,35.9,40.1,88.2,73.5,37.2,Playoffs,2012
SEATTLE STORM,3,1,2,130.0,96.6,97.5,-0.8,69.9,1.41,17.5,29.8,69.7,49.0,17.4,46.5,49.9,87.14,72.62,45.4,Playoffs,2012
CONNECTICUT SUN,5,3,2,200.0,103.4,100.3,3.1,57.7,1.22,15.7,40.8,64.4,53.1,18.5,46.9,51.2,84.12,70.1,54.0,Playoffs,2012
PHOENIX MERCURY,5,2,3,200.0,93.6,100.0,-6.4,56.9,1.15,15.4,32.0,65.9,49.0,18.3,44.0,48.5,93.6,78.0,46.4,Playoffs,2013
LOS ANGELES SPARKS,3,1,2,120.0,100.4,102.2,-1.7,35.6,0.86,10.2,41.5,67.8,53.6,15.9,41.6,47.1,93.0,77.5,46.2,Playoffs,2013
MINNESOTA LYNX,7,7,0,280.0,102.8,82.6,20.2,57.1,1.25,16.9,31.6,71.3,53.3,18.4,50.9,54.6,92.31,76.93,68.2,Playoffs,2013
ATLANTA DREAM,8,4,4,320.0,90.0,94.8,-4.8,53.6,1.01,13.2,35.4,66.1,49.3,18.2,39.8,44.2,91.5,76.25,44.1,Playoffs,2013
WASHINGTON MYSTICS,3,1,2,120.0,84.3,89.2,-4.9,63.8,0.96,14.5,30.1,58.4,45.6,20.6,41.3,45.2,89.2,74.33,45.8,Playoffs,2013
INDIANA FEVER,4,2,2,160.0,101.7,96.9,4.8,58.1,1.07,15.3,34.9,70.6,53.2,19.6,48.0,53.3,87.0,72.5,51.0,Playoffs,2013
CHICAGO SKY,2,0,2,80.0,89.6,113.1,-23.5,58.5,1.2,13.1,23.1,68.7,44.1,13.9,37.4,46.8,86.7,72.25,35.5,Playoffs,2013
SEATTLE STORM,2,0,2,80.0,85.0,99.3,-14.3,47.9,0.74,12.9,24.2,62.8,45.1,22.1,46.8,49.1,83.7,69.75,39.3,Playoffs,2013
ATLANTA DREAM,3,1,2,120.0,106.0,103.4,2.6,66.0,1.68,18.7,33.6,70.1,51.9,15.7,49.0,53.9,94.2,78.5,53.3,Playoffs,2014
LOS ANGELES SPARKS,2,0,2,80.0,89.7,107.0,-17.3,57.4,1.21,16.8,23.7,71.8,46.9,18.6,47.7,48.9,93.9,78.25,39.7,Playoffs,2014
MINNESOTA LYNX,5,3,2,200.0,106.4,110.8,-4.4,60.0,1.71,17.5,32.7,68.8,49.2,14.4,48.2,52.8,93.24,77.7,47.0,Playoffs,2014
PHOENIX MERCURY,8,7,1,320.0,111.8,94.3,17.4,57.5,1.44,18.1,29.3,70.0,52.2,17.1,55.3,59.7,92.85,77.37,63.0,Playoffs,2014
SAN ANTONIO STARS,2,0,2,80.0,113.1,118.2,-5.1,53.8,1.25,16.6,36.1,62.0,49.0,18.3,54.5,58.1,92.1,76.75,42.9,Playoffs,2014
CHICAGO SKY,9,4,5,370.0,100.4,107.7,-7.3,55.6,1.16,14.8,31.6,62.7,47.1,17.4,45.3,51.3,88.86,74.05,44.5,Playoffs,2014
WASHINGTON MYSTICS,2,0,2,85.0,95.5,103.9,-8.4,60.4,0.94,15.3,29.9,66.3,49.4,21.8,46.8,52.5,87.25,72.71,44.1,Playoffs,2014
INDIANA FEVER,5,3,2,215.0,101.3,101.1,0.3,50.4,1.27,12.3,39.8,69.7,53.1,13.5,40.0,46.8,84.06,70.05,48.3,Playoffs,2014
TULSA SHOCK,2,0,2,80.0,76.3,111.9,-35.6,42.9,1.0,8.6,27.0,81.7,45.7,11.3,29.9,35.9,96.0,80.0,19.0,Playoffs,2015
CHICAGO SKY,3,1,2,120.0,110.2,115.0,-4.8,59.4,1.71,18.5,36.2,64.1,50.2,15.6,51.2,54.3,90.4,75.33,47.9,Playoffs,2015
PHOENIX MERCURY,4,2,2,160.0,103.3,87.0,16.3,57.1,1.36,16.5,19.5,67.8,48.5,15.7,51.9,57.0,90.0,75.0,66.5,Playoffs,2015
LOS ANGELES SPARKS,3,1,2,120.0,100.9,101.8,-0.9,63.1,1.26,17.2,31.8,65.5,48.9,18.8,49.5,53.4,89.8,74.83,47.8,Playoffs,2015
INDIANA FEVER,11,6,5,440.0,102.4,102.5,-0.1,52.0,1.03,14.7,34.7,61.1,48.3,19.4,49.3,53.9,86.51,72.09,49.7,Playoffs,2015
MINNESOTA LYNX,10,7,3,400.0,101.7,98.5,3.2,56.2,1.22,15.4,40.0,67.4,53.2,17.9,45.9,50.5,86.28,71.9,52.6,Playoffs,2015
NEW YORK LIBERTY,6,3,3,250.0,101.4,97.5,3.8,61.8,1.32,16.9,36.5,72.5,53.6,18.4,46.9,50.6,84.77,70.64,51.1,Playoffs,2015
WASHINGTON MYSTICS,3,1,2,130.0,100.0,107.8,-7.8,58.2,1.39,15.1,27.9,61.2,45.0,14.5,46.4,51.2,84.55,70.46,45.0,Playoffs,2015
CHICAGO SKY,5,2,3,200.0,101.2,111.0,-9.8,57.8,1.43,16.4,38.8,63.5,50.2,16.5,45.5,49.6,97.8,81.5,43.8,Playoffs,2016
PHOENIX MERCURY,5,2,3,200.0,107.1,114.3,-7.2,57.8,1.22,16.7,24.8,67.0,47.5,17.8,53.7,59.9,97.68,81.4,46.8,Playoffs,2016
ATLANTA DREAM,2,1,1,80.0,119.3,121.4,-2.1,59.7,1.82,17.2,39.0,62.7,50.9,13.7,52.5,57.7,96.0,80.0,47.2,Playoffs,2016
INDIANA FEVER,1,0,1,40.0,98.7,109.9,-11.1,55.2,1.45,14.0,37.3,73.1,49.4,13.9,39.7,45.2,96.0,80.0,32.6,Playoffs,2016
NEW YORK LIBERTY,1,0,1,40.0,119.0,127.8,-8.9,51.4,2.11,17.9,28.6,65.6,46.3,11.4,56.4,59.6,94.8,79.0,43.1,Playoffs,2016
MINNESOTA LYNX,8,5,3,320.0,109.8,101.4,8.4,64.2,1.59,19.0,33.0,71.1,52.8,16.9,51.9,57.2,93.45,77.87,59.1,Playoffs,2016
LOS ANGELES SPARKS,9,6,3,360.0,105.9,99.6,6.3,60.6,1.37,17.4,33.2,64.8,49.5,17.6,51.3,55.3,93.2,77.67,51.6,Playoffs,2016
SEATTLE STORM,1,0,1,40.0,111.8,122.1,-10.2,64.3,3.0,17.0,28.9,69.7,46.2,7.9,43.8,51.5,91.8,76.5,42.8,Playoffs,2016
DALLAS WINGS,1,0,1,40.0,95.0,106.2,-11.2,55.6,2.14,13.3,33.3,59.6,46.2,8.8,35.0,42.2,96.6,80.5,45.0,Playoffs,2017
LOS ANGELES SPARKS,8,5,3,320.0,100.5,97.1,3.4,63.7,1.32,17.6,28.2,70.3,48.9,18.3,48.2,52.9,93.75,78.12,52.7,Playoffs,2017
CONNECTICUT SUN,1,0,1,40.0,106.4,112.8,-6.4,37.5,1.0,11.4,39.5,78.4,57.5,15.4,49.3,52.2,93.6,78.0,45.2,Playoffs,2017
MINNESOTA LYNX,8,6,2,320.0,106.8,99.0,7.8,58.1,1.38,17.3,35.1,71.0,53.6,17.7,52.2,54.8,92.18,76.81,55.3,Playoffs,2017
PHOENIX MERCURY,5,2,3,200.0,102.3,105.5,-3.1,62.1,1.19,16.3,22.5,66.5,45.6,18.0,50.5,56.4,92.16,76.8,46.9,Playoffs,2017
SEATTLE STORM,1,0,1,40.0,90.8,103.9,-13.2,54.5,0.92,12.1,26.2,75.0,48.7,17.1,39.7,47.8,91.2,76.0,37.6,Playoffs,2017
NEW YORK LIBERTY,1,0,1,40.0,90.7,107.9,-17.2,55.6,0.94,16.0,14.7,61.2,42.2,21.3,51.7,53.9,90.6,75.5,43.9,Playoffs,2017
WASHINGTON MYSTICS,5,2,3,200.0,106.6,112.0,-5.4,53.4,1.65,14.8,37.3,67.7,51.4,12.7,45.9,50.0,90.12,75.1,45.7,Playoffs,2017
ATLANTA DREAM,5,2,3,200.0,101.5,106.3,-4.8,52.9,1.35,14.7,35.1,67.1,51.0,15.2,46.8,50.1,94.8,79.0,45.6,Playoffs,2018
CONNECTICUT SUN,1,0,1,40.0,108.9,121.5,-12.7,57.1,4.0,18.2,23.9,75.8,45.6,6.3,49.4,51.2,94.8,79.0,39.2,Playoffs,2018
PHOENIX MERCURY,7,4,3,285.0,111.6,106.4,5.1,57.3,1.84,18.5,25.3,71.4,50.0,13.7,56.0,58.6,94.4,78.67,54.4,Playoffs,2018
